question,answer,language,tags
What is the last date to submit the exam form?,The last date to submit the exam form is 10 March 2025.,en,exam_form
Exam form ki last date kya hai?,Exam form bharne ki aakhri tareekh 10 March 2025 hai.,hi,exam_form
एक्झाम फॉर्मची शेवटची तारीख?,एक्झाम फॉर्मची शेवटची तारीख 10 मार्च 2025 आहे.,mr,exam_form

What are the library timings?,The college library is open from 9:00 AM to 6:00 PM, Monday to Saturday.,en,library
Library timing kya hai?,Library Monday–Saturday, 9AM–6PM tak khuli rehti hai.,hi,library
लायब्ररीचे वेळ काय आहेत?,लायब्ररी सोमवार–शनिवार 9 ते 6 पर्यंत खुली असते.,mr,library

How to apply for scholarship?,You can apply for scholarship on the college portal under 'Scholarship Section'.,en,scholarship
Scholarship kaise apply kare?,Scholarship apply karne ke liye portal me login kare.,hi,scholarship
शिष्यवृत्ती कशी अर्ज करायची?,शिष्यवृत्ती अर्ज करण्यासाठी पोर्टलवर लॉगिन करा.,mr,scholarship

How to pay fees?,Fees can be paid online through the ERP portal.,en,fees
Fess kaise bhare?,Fees ERP portal par online jama ki ja sakti hain.,hi,fees
फी कशी भरायची?,फी ईआरपी पोर्टलवर ऑनलाइन भरता येते.,mr,fees

When are the semester exams?,Semester exams are scheduled in April 2025.,en,exam_dates
Exam kab hai?,Exam April 2025 me honge.,hi,exam_dates
परीक्षा कधी आहेत?,परीक्षा एप्रिल 2025 मध्ये आहेत.,mr,exam_dates

College address?,The college is located at XYZ Road, Mumbai.,en,address
कॉलेज का पता?,कॉलेज XYZ रोड, मुंबई पर स्थित है.,hi,address
कॉलेजचा पत्ता?,कॉलेज XYZ रोड, मुंबई येथे आहे.,mr,address

What are hostel rules?,Hostel closes at 10 PM. ID card required for entry.,en,hostel
होस्टल के नियम?,होस्टल रात 10 बजे बंद हो जाता है.,hi,hostel
होस्टेलचे नियम?,होस्टेल रात्री 10 वाजता बंद होते.,mr,hostel

Canteen timing?,Canteen is open from 8AM to 6PM.,en,canteen
कैंटीन टाइमिंग?,कैंटीन सुबह 8 से शाम 6 तक खुली रहती है.,hi,canteen
कँटीन टाइमिंग?,कँटीन 8 ते 6 पर्यंत खुली असते.,mr,canteen

WiFi password?,WiFi password is available in the office notice board.,en,wifi
वाईफाई पासवर्ड?,वाईफाई पासवर्ड ऑफिस नोटीस बोर्ड पर उपलब्ध है.,hi,wifi
वायफाय पासवर्ड?,वायफाय पासवर्ड ऑफीस बोर्डवर दिलेला आहे.,mr,wifi

Placement office location?,Placement cell is located on 3rd floor, Block A.,en,placement
प्लेसमेंट सेल कहाँ है?,प्लेसमेंट सेल ब्लॉक A की तीसरी मंजिल पर है.,hi,placement
प्लेसमेंट सेल कुठे आहे?,प्लेसमेंट सेल ब्लॉक A, तिसऱ्या मजल्यावर आहे.,mr,placement

Faculty list?,You can view the faculty list on the official college website.,en,faculty
फैकल्टी लिस्ट?,फैकल्टी लिस्ट कॉलेज वेबसाइट पर उपलब्ध है.,hi,faculty
फॅकल्टी यादी?,फॅकल्टी यादी वेबसाइटवर आहे.,mr,faculty
