text,lang
hi,en
hello,en
hey,en
good morning,en
good evening,en
good afternoon,en
what is the library timing,en
when are exams,en
where is the office,en
how to pay fees,en
scholarship details please,en
exam form last date,en
thank you,en
bye,en
ok,en
yes,en
no,en
tell me about fees,en
how to apply scholarship,en
library open or not,en
exam dates please,en
what is the timetable,en
college address,en
how to access wifi,en
where is computer lab,en
is library open today,en
faculty list please,en
office email id,en
hostel rules,en
mess timing,en
can I talk to staff,en
course syllabus,en
attendance rules,en
bus timing,en
semester start date,en
how many credits,en
internal exam date,en
college contact number,en
admission process,en
placement details,en

नमस्ते,hi
हेलो,hi
सुप्रभात,hi
शुभ संध्या,hi
लाइब्रेरी का टाइम क्या है,hi
परीक्षा कब हैं,hi
ऑफिस कहाँ है,hi
फीस कैसे भरें,hi
स्कॉलरशिप की जानकारी दें,hi
एग्जाम फॉर्म की लास्ट डेट क्या है,hi
धन्यवाद,hi
ठीक है,hi
हाँ,hi
नहीं,hi
फीस के बारे में बताएं,hi
स्कॉलरशिप कैसे अप्लाई करें,hi
लाइब्रेरी खुली है क्या,hi
एग्जाम डेट बताओ,hi
टाइमटेबल क्या है,hi
कॉलेज का ऐड्रेस क्या है,hi
वाईफाई कैसे मिलेगी,hi
कंप्यूटर लैब कहाँ है,hi
आज लाइब्रेरी खुली है क्या,hi
फैकल्टी लिस्ट दो,hi
ऑफिस का ईमेल क्या है,hi
होस्टल के नियम क्या हैं,hi
मेस का टाइम क्या है,hi
स्टाफ से बात करनी है,hi
सिलेबस भेजो,hi
अटेंडेंस की रूल क्या है,hi
बस टाइमिंग क्या है,hi
सेमेस्टर कब शुरू होगा,hi
कितने क्रेडिट हैं,hi
इंटरनल एग्जाम कब है,hi
कॉलेज का नंबर क्या है,hi
एडमिशन प्रोसेस बताओ,hi
प्लेसमेंट की जानकारी दो,hi

नमस्कार,mr
हॅलो,mr
शुभ प्रभात,mr
शुभ संध्या,mr
लायब्ररीचे वेळ काय आहेत,mr
परीक्षा कधी आहेत,mr
ऑफिस कुठे आहे,mr
फी कशी भरायची,mr
शिष्यवृत्तीची माहिती द्या,mr
एक्झाम फॉर्मची शेवटची तारीख,mr
धन्यवाद,mr
हो,mr
नाही,mr
ठीक आहे,mr
फी बद्दल माहिती द्या,mr
शिष्यवृत्ती कशी अर्ज करायची,mr
लायब्ररी उघडी आहे का,mr
परीक्षेच्या तारखा सांगा,mr
टाइमटेबल काय आहे,mr
कॉलेजचा पत्ता,mr
वाईफाई कसे मिळेल,mr
कंप्यूटर लॅब कुठे आहे,mr
आज लायब्ररी उघडी आहे का,mr
फॅकल्टी यादी,mr
ऑफिसचा ईमेल,mr
होस्टेलचे नियम,mr
मेस टाइमिंग,mr
स्टाफशी बोलायचे आहे,mr
सिलेबस द्या,mr
अटेंडन्सचे नियम,mr
बसची वेळ,mr
सेमिस्टर कधी सुरू होईल,mr
क्रेडिट किती आहेत,mr
इंटरनल परीक्षा कधी आहे,mr
कॉलेजचा संपर्क क्रमांक,mr
अ‍ॅडमिशन प्रक्रिया,mr
प्लेसमेंट तपशील,mr

